Customer ID,Age,Gender,Category,Size,Color,Season,Review Rating,Subscription Status,Payment Method,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Preferred Payment Method,Frequency of Purchases,Purchase Amount (USD)
1,55,Male,Clothing,L,,Winter,3.1,Yes,Credit Card,Express,Yes,Yes,7.204823845969747,Venmo,Fortnightly,53
2,19,Male,Clothing,L,Maroon,Winter,3.1,Yes,Bank Transfer,Express,Yes,Yes,6.107572494818402,Cash,Fortnightly,64
3,50,Male,Clothing,S,,Spring,3.1,Yes,Cash,Free Shipping,Yes,Yes,5.473226075833715,Credit Card,Weekly,73
4,21,Male,Footwear,M,,Spring,3.5,Yes,PayPal,Next Day Air,Yes,Yes,7.583039618330417,PayPal,Weekly,90
5,45,Male,Clothing,M,Turquoise,Spring,2.7,Yes,Cash,Free Shipping,Yes,Yes,2.71130430842857,PayPal,Annually,49
6,46,Male,Footwear,M,,Summer,2.9,Yes,Venmo,Standard,Yes,Yes,1.5309038042869907,Venmo,Weekly,20
7,63,Male,Clothing,M,,Fall,3.2,Yes,Debit Card,Free Shipping,Yes,Yes,4.8353037927664735,Cash,Quarterly,85
8,27,Male,Clothing,L,,Winter,3.2,Yes,Debit Card,Free Shipping,Yes,Yes,6.318730438014406,Credit Card,Weekly,34
9,26,Male,Outerwear,L,,Summer,2.6,Yes,Venmo,Express,Yes,Yes,7.5638472709532625,Venmo,Annually,97
10,57,Male,Accessories,M,Pink,Spring,4.8,Yes,PayPal,2-Day Shipping,Yes,Yes,2.4396709597643382,Cash,Quarterly,31
11,53,Male,Footwear,L,,Fall,4.1,Yes,Credit Card,Store Pickup,Yes,Yes,4.187647724957431,Bank Transfer,Bi-Weekly,34
12,30,Male,Clothing,S,Olive,Winter,4.9,Yes,PayPal,Store Pickup,Yes,Yes,6.285143589701113,Bank Transfer,Fortnightly,68
13,61,Male,Outerwear,M,,Winter,4.5,Yes,PayPal,Express,Yes,Yes,6.267929407633769,Venmo,Fortnightly,72
14,65,Male,Clothing,M,,Spring,4.7,Yes,Debit Card,Express,Yes,Yes,3.7518901406009784,PayPal,Weekly,51
15,64,Male,Outerwear,L,,Winter,,Yes,PayPal,Free Shipping,Yes,Yes,2.6768753056751446,Debit Card,Weekly,53
16,64,Male,Clothing,M,,Winter,2.8,Yes,Credit Card,Store Pickup,Yes,Yes,4.078957969274597,PayPal,Monthly,81
17,25,Male,Accessories,S,Gray,Spring,4.1,Yes,Venmo,Next Day Air,Yes,Yes,4.25600081404729,Debit Card,Bi-Weekly,36
18,53,Male,Clothing,XL,,Winter,4.7,Yes,Debit Card,2-Day Shipping,Yes,Yes,2.0102743321012144,Venmo,Quarterly,38
19,52,Male,Clothing,S,,Summer,4.6,Yes,Bank Transfer,Free Shipping,Yes,Yes,5.228198615533222,Cash,Weekly,48
20,66,Male,Clothing,M,Green,Summer,3.3,Yes,Venmo,Standard,Yes,Yes,5.657817828822019,Debit Card,Bi-Weekly,90
21,21,Male,Clothing,M,,Winter,2.8,Yes,Credit Card,Express,Yes,Yes,3.7883355925951134,Cash,Every 3 Months,51
22,31,Male,Clothing,M,Charcoal,Winter,4.1,Yes,Credit Card,Store Pickup,Yes,Yes,5.699649978309704,Debit Card,Quarterly,62
23,56,Male,Clothing,M,,Summer,3.2,Yes,Cash,Store Pickup,Yes,Yes,3.493981236503826,Debit Card,Annually,37
24,31,Male,Clothing,XL,,Winter,4.4,Yes,Credit Card,Express,Yes,Yes,7.128832045626726,Credit Card,Weekly,88
25,18,Male,Outerwear,M,,Fall,2.9,Yes,Cash,Store Pickup,Yes,Yes,4.391425796122681,Debit Card,Weekly,22
26,18,Male,Clothing,M,,Summer,3.6,Yes,Bank Transfer,Express,Yes,Yes,5.480663656437855,PayPal,Annually,25
27,38,Male,Accessories,M,,Spring,3.6,Yes,Cash,Next Day Air,Yes,Yes,3.654888808552804,Credit Card,Annually,20
28,56,Male,Clothing,L,,Summer,5.0,Yes,Debit Card,Next Day Air,Yes,Yes,4.214146704593652,Bank Transfer,Every 3 Months,56
29,54,Male,Accessories,M,,Fall,4.4,Yes,Debit Card,Free Shipping,Yes,Yes,6.306683844972243,PayPal,Every 3 Months,94
30,31,Male,Clothing,S,,Fall,4.1,Yes,Venmo,Store Pickup,Yes,Yes,5.972261739164342,Credit Card,Weekly,48
31,57,Male,Accessories,L,,Winter,4.7,Yes,Bank Transfer,Standard,Yes,Yes,3.9949018777701912,Credit Card,Monthly,31
32,33,Male,Clothing,L,,Winter,4.7,Yes,Venmo,Store Pickup,Yes,Yes,4.691660697742385,Venmo,Monthly,79
33,36,Male,Outerwear,M,,Summer,,Yes,Bank Transfer,Free Shipping,Yes,Yes,7.075963539078735,Venmo,Annually,67
34,54,Male,Clothing,L,,Summer,3.3,Yes,Venmo,Store Pickup,Yes,Yes,3.8544902191882864,Cash,Quarterly,38
35,36,Male,Clothing,L,Violet,Spring,4.6,Yes,Debit Card,2-Day Shipping,Yes,Yes,7.662032699454157,PayPal,Quarterly,91
36,54,Male,Clothing,M,Cyan,Summer,4.0,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,3.4850995639418865,Credit Card,Bi-Weekly,33
37,35,Male,Clothing,M,Maroon,Winter,4.6,Yes,Cash,Free Shipping,Yes,Yes,4.403463689485477,PayPal,Fortnightly,69
38,35,Male,Clothing,S,,Summer,2.8,Yes,Debit Card,Store Pickup,Yes,Yes,6.048147407945652,PayPal,Weekly,45
39,29,Male,Clothing,M,Red,Winter,3.7,Yes,Debit Card,2-Day Shipping,Yes,Yes,3.2311744460035134,Venmo,Every 3 Months,37
40,70,Male,Clothing,S,,Summer,4.2,Yes,Bank Transfer,Express,Yes,Yes,3.9863541021787303,Credit Card,Monthly,60
41,69,Male,Accessories,L,Beige,Winter,4.6,Yes,PayPal,Next Day Air,Yes,Yes,6.952976607070882,Debit Card,Quarterly,76
42,67,Male,Accessories,M,,Spring,4.5,Yes,Cash,Standard,Yes,Yes,3.763744654062413,Venmo,Annually,39
43,20,Male,Outerwear,M,,Spring,4.1,Yes,Bank Transfer,Free Shipping,Yes,Yes,8.627597780773895,PayPal,Annually,100
44,25,Male,Accessories,L,,Fall,3.7,Yes,PayPal,Store Pickup,Yes,Yes,4.620633448269762,PayPal,Fortnightly,69
45,39,Male,Accessories,S,,Summer,4.6,Yes,Bank Transfer,Free Shipping,Yes,Yes,4.2929755518530195,PayPal,Weekly,53
46,50,Male,Clothing,XL,,Fall,2.9,Yes,Venmo,2-Day Shipping,Yes,Yes,1.9172166327575,PayPal,Annually,21
47,57,Male,Clothing,L,White,Summer,2.9,Yes,Venmo,Store Pickup,Yes,Yes,2.982625687929589,Cash,Quarterly,43
48,55,Male,Accessories,M,,Winter,4.5,Yes,Debit Card,Free Shipping,Yes,Yes,5.149674255410309,Cash,Weekly,54
49,42,Male,Clothing,M,,Summer,2.7,Yes,Debit Card,Store Pickup,Yes,Yes,3.916277406171888,Cash,Monthly,55
50,68,Male,Clothing,S,,Spring,4.6,Yes,Bank Transfer,Next Day Air,Yes,Yes,3.0709701244597625,Debit Card,Bi-Weekly,30
51,49,Male,Clothing,M,Red,Spring,3.7,Yes,Cash,Store Pickup,Yes,Yes,1.742156250806294,Debit Card,Bi-Weekly,28
52,59,Male,Clothing,XL,,Winter,4.7,Yes,PayPal,2-Day Shipping,Yes,Yes,5.961491392680772,Credit Card,Quarterly,59
53,42,Male,Clothing,M,,Summer,2.6,Yes,Credit Card,Free Shipping,Yes,Yes,4.8651252703221,Credit Card,Weekly,20
54,29,Male,Clothing,S,,Winter,3.9,Yes,Debit Card,Next Day Air,Yes,Yes,2.0433749785600415,Credit Card,Weekly,24
55,47,Male,Outerwear,M,,Summer,4.2,Yes,Bank Transfer,Next Day Air,Yes,Yes,7.107348773010529,Debit Card,Bi-Weekly,94
56,40,Male,Outerwear,M,,Winter,3.0,Yes,Venmo,2-Day Shipping,Yes,Yes,4.36126741918505,Credit Card,Annually,28
57,41,Male,Accessories,XL,,Summer,4.7,Yes,PayPal,Store Pickup,Yes,Yes,4.406465973798889,Credit Card,Weekly,73
58,21,Male,Outerwear,M,,Summer,4.4,Yes,PayPal,Store Pickup,Yes,Yes,3.4811360246800636,Debit Card,Fortnightly,64
59,69,Male,Clothing,M,,Summer,4.2,Yes,Credit Card,Free Shipping,Yes,Yes,5.815191239409794,Venmo,Monthly,54
60,63,Male,Accessories,L,,Spring,4.6,Yes,Debit Card,Standard,Yes,Yes,8.546638686207803,Debit Card,Weekly,79
61,50,Male,Clothing,L,,Summer,4.0,Yes,Credit Card,Express,Yes,Yes,2.1046263692176934,Cash,Weekly,37
62,55,Male,Accessories,M,,Winter,4.7,Yes,Bank Transfer,Store Pickup,Yes,Yes,4.575899997386586,Credit Card,Every 3 Months,68
63,30,Male,Footwear,S,Magenta,Spring,3.8,Yes,Credit Card,Free Shipping,Yes,Yes,4.161313678558087,Credit Card,Fortnightly,21
64,33,Male,Accessories,L,,Winter,2.7,Yes,Credit Card,2-Day Shipping,Yes,Yes,6.277471106783343,Credit Card,Weekly,79
65,65,Male,Footwear,S,Green,Fall,4.8,Yes,PayPal,Standard,Yes,Yes,5.847663300100921,Debit Card,Fortnightly,83
66,65,Male,Accessories,M,,Spring,4.8,Yes,Credit Card,2-Day Shipping,Yes,Yes,2.8674360264858025,Venmo,Every 3 Months,36
67,31,Male,Clothing,S,,Winter,4.7,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,5.560280152416792,Venmo,Every 3 Months,94
68,45,Male,Outerwear,L,,Winter,4.4,Yes,PayPal,Store Pickup,Yes,Yes,2.140794776023997,Debit Card,Monthly,33
69,57,Male,Accessories,L,,Summer,3.9,Yes,Credit Card,Next Day Air,Yes,Yes,5.882458329671497,Cash,Every 3 Months,46
70,48,Male,Accessories,S,,Summer,4.4,Yes,Credit Card,Express,Yes,Yes,7.506997150146066,Cash,Weekly,70
71,22,Male,Accessories,M,,Fall,4.2,Yes,Credit Card,Express,Yes,Yes,5.180882495791412,Debit Card,Every 3 Months,29
72,36,Male,Clothing,L,,Summer,2.9,Yes,Debit Card,Express,Yes,Yes,2.759670680966976,Bank Transfer,Annually,48
73,18,Male,Clothing,M,,Winter,2.9,Yes,Debit Card,Store Pickup,Yes,Yes,2.5813341996480688,Bank Transfer,Every 3 Months,26
74,48,Male,Clothing,M,,Spring,2.7,Yes,Debit Card,Free Shipping,Yes,Yes,5.930388256572316,Bank Transfer,Bi-Weekly,85
75,49,Male,Accessories,L,,Spring,4.5,Yes,PayPal,Express,Yes,Yes,3.6713397205260865,Cash,Monthly,58
76,64,Male,Accessories,M,Blue,Summer,2.7,Yes,Debit Card,Free Shipping,Yes,Yes,8.414493318580531,Credit Card,Annually,85
77,50,Male,Accessories,S,,Summer,4.2,Yes,Bank Transfer,Free Shipping,Yes,Yes,2.709244124233379,Venmo,Monthly,43
78,22,Male,Clothing,L,,Summer,3.3,Yes,Debit Card,Next Day Air,Yes,Yes,6.561203229272307,Debit Card,Fortnightly,53
79,50,Male,Clothing,M,,Spring,4.7,Yes,Venmo,Free Shipping,Yes,Yes,5.925265281312937,Venmo,Fortnightly,91
80,38,Male,Outerwear,M,Olive,Winter,2.6,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,7.852355540537504,Bank Transfer,Every 3 Months,96
81,19,Male,Footwear,XL,,Summer,3.3,Yes,Credit Card,Store Pickup,Yes,Yes,8.49871018760938,Credit Card,Every 3 Months,72
82,67,Male,Footwear,L,,Summer,2.6,Yes,PayPal,Express,Yes,Yes,5.151442351958161,Credit Card,Every 3 Months,96
83,19,Male,Clothing,S,Olive,Spring,4.0,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,3.162107824733205,Credit Card,Every 3 Months,28
84,36,Male,Clothing,M,,Summer,4.1,Yes,Debit Card,Standard,Yes,Yes,5.259449138296858,Bank Transfer,Weekly,40
85,52,Male,Outerwear,S,,Spring,4.4,Yes,Cash,Standard,Yes,Yes,4.021010884230552,Bank Transfer,Every 3 Months,32
86,53,Male,Accessories,M,,Winter,4.5,Yes,Credit Card,Next Day Air,Yes,Yes,8.952423163707625,Debit Card,Bi-Weekly,95
87,24,Male,Clothing,L,,Spring,3.7,Yes,Venmo,2-Day Shipping,Yes,Yes,4.1034464674445585,Cash,Bi-Weekly,41
88,52,Male,Footwear,M,,Fall,3.7,Yes,Debit Card,2-Day Shipping,Yes,Yes,7.018304875876904,Debit Card,Fortnightly,53
89,33,Male,Clothing,M,,Fall,3.5,Yes,Credit Card,Free Shipping,Yes,Yes,7.0886588426166774,Credit Card,Monthly,47
90,47,Male,Outerwear,XL,Pink,Fall,3.6,Yes,Bank Transfer,Next Day Air,Yes,Yes,6.593271312585683,Cash,Quarterly,83
91,25,Male,Accessories,L,Violet,Summer,2.9,Yes,Venmo,Express,Yes,Yes,5.322580368962402,Credit Card,Monthly,48
92,44,Male,Accessories,S,,Winter,4.6,Yes,PayPal,Standard,Yes,Yes,7.340599045954511,Credit Card,Every 3 Months,99
93,61,Male,Outerwear,M,,Winter,4.4,Yes,Cash,2-Day Shipping,Yes,Yes,6.079481350034218,Venmo,Every 3 Months,87
94,37,Male,Clothing,M,,Fall,4.5,Yes,PayPal,Standard,Yes,Yes,6.966585750444804,Credit Card,Weekly,62
95,58,Male,Clothing,S,,Spring,4.6,Yes,Bank Transfer,Free Shipping,Yes,Yes,4.27799874382564,Credit Card,Weekly,76
96,37,Male,Footwear,L,Pink,Fall,3.8,Yes,PayPal,Free Shipping,Yes,Yes,6.664829807286917,PayPal,Monthly,100
97,32,Male,Accessories,S,,Spring,3.6,Yes,Venmo,Express,Yes,Yes,7.0331146683138694,Venmo,Every 3 Months,73
98,21,Male,Footwear,M,,Winter,4.8,Yes,PayPal,Store Pickup,Yes,Yes,7.621133885481932,Cash,Annually,92
99,20,Male,Clothing,XL,Teal,Spring,2.6,Yes,Cash,Next Day Air,Yes,Yes,4.173333634105125,Bank Transfer,Annually,67
100,26,Male,Clothing,XL,,Summer,3.7,Yes,Cash,Express,Yes,Yes,3.9627084146739193,Debit Card,Quarterly,40
101,62,Male,Accessories,M,,Fall,2.7,Yes,PayPal,Express,Yes,Yes,7.026519487922254,Cash,Fortnightly,98
102,27,Male,Outerwear,XL,,Spring,4.6,Yes,Venmo,Express,Yes,Yes,6.3069758845585975,Credit Card,Bi-Weekly,85
103,51,Male,Clothing,L,,Winter,4.8,Yes,Credit Card,Next Day Air,Yes,Yes,6.809496992247258,Credit Card,Quarterly,67
104,54,Male,Footwear,L,Red,Winter,4.0,Yes,Debit Card,Next Day Air,Yes,Yes,9.158811180602743,Venmo,Bi-Weekly,89
105,55,Male,Accessories,L,,Spring,4.4,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,2.751049217958327,PayPal,Monthly,24
106,69,Male,Accessories,M,,Fall,3.6,Yes,Bank Transfer,Next Day Air,Yes,Yes,6.295362225789116,Bank Transfer,Annually,96
107,64,Male,Outerwear,L,,Summer,3.7,Yes,Cash,Standard,Yes,Yes,4.5051931527622315,Credit Card,Monthly,35
108,28,Male,Footwear,L,,Winter,3.1,Yes,Cash,Next Day Air,Yes,Yes,4.530895634740274,PayPal,Fortnightly,67
109,70,Male,Clothing,L,,Spring,3.4,Yes,Bank Transfer,Next Day Air,Yes,Yes,6.753964356995528,Bank Transfer,Bi-Weekly,79
110,58,Male,Clothing,M,,Spring,2.6,Yes,Cash,Next Day Air,Yes,Yes,7.1552220968069635,Bank Transfer,Fortnightly,85
111,56,Male,Accessories,M,,Summer,4.0,Yes,Bank Transfer,Standard,Yes,Yes,3.1748565733672054,Venmo,Fortnightly,26
112,26,Male,Accessories,L,,Summer,5.0,Yes,PayPal,Free Shipping,Yes,Yes,4.411845744253002,Credit Card,Annually,75
113,37,Male,Accessories,M,,Spring,4.3,Yes,Credit Card,Free Shipping,Yes,Yes,6.107507344536396,PayPal,Bi-Weekly,65
114,44,Male,Accessories,L,,Winter,3.1,Yes,Debit Card,Next Day Air,Yes,Yes,4.154604824312007,PayPal,Quarterly,54
115,70,Male,Outerwear,S,Blue,Summer,3.7,Yes,Venmo,Store Pickup,Yes,Yes,8.905397848665007,Cash,Weekly,95
116,53,Male,Clothing,M,,Spring,3.8,Yes,Cash,Standard,Yes,Yes,7.746957738781079,Debit Card,Every 3 Months,94
117,55,Male,Footwear,S,Blue,Spring,3.4,Yes,PayPal,Free Shipping,Yes,Yes,7.287280283544904,Venmo,Annually,86
118,50,Male,Footwear,L,,Summer,4.6,Yes,Bank Transfer,Express,Yes,Yes,5.482532490914341,Cash,Fortnightly,32
119,50,Male,Clothing,L,,Fall,4.8,Yes,Bank Transfer,2-Day Shipping,Yes,Yes,6.557280028847606,Cash,Bi-Weekly,45
120,38,Male,Outerwear,M,Orange,Fall,4.3,Yes,Debit Card,Express,Yes,Yes,6.85596051268522,Cash,Annually,76
